and,and,s,topic_35,0,freq1,0,ig5,0,sal5,0
in,in,s,topic_18,0,freq3,0,ig5,0,sal5,0
the,the,s,topic_5,0,freq1,0,ig5,0,sal2,0
nightmares,nightmares,,topic_0,0,freq5,0,ig5,0,sal5,0
",",",",s
I'll,i'll,s,topic_18,0,freq5,0,ig5,0,sal5,0
fill,fill,s,topic_12,0,freq4,0,ig5,0,sal5,0
them,them,s,topic_79,0,freq2,0,ig5,0,sal3,0
in,in,s,topic_0,0,freq3,0,ig5,0,sal5,0
good,good,s,topic_78,0,freq5,0,ig5,0,sal5,0
time,time,,topic_4,0,freq4,0,ig5,0,sal5,0
",",",",s
oh,oh,s,topic_67,0,freq1,0,ig5,0,sal1,0
They,they,s,topic_67,0,freq4,0,ig5,0,sal5,0
will,will,s,topic_35,0,freq1,0,ig5,0,sal1,0
',',
seech,seech,s,topic_92,0,freq5,0,ig4,0,sal5,0
your,your,s,topic_41,0,freq2,0,ig5,0,sal5,0
mind,mind,s,topic_18,0,freq3,0,ig5,0,sal3,0
And,and,s,topic_78,0,freq2,0,ig5,0,sal5,0
no,no,s,topic_0,0,freq5,0,ig5,0,sal5,0
lying,lying,,topic_5,0,freq4,0,ig5,0,sal4,0
",",",",s
and,and,s,topic_77,0,freq2,0,ig5,0,sal5,0
you,you,s,topic_78,0,freq1,0,ig5,0,sal1,0
may,may,,topic_35,0,freq3,0,ig5,0,sal3,0
",",",",s
well,well,,topic_86,0,freq5,0,ig5,0,sal5,0
",",",",s
ask,ask,,topic_4,0,freq4,0,ig5,0,sal5,0
",",",",s
"""","""",
Why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
do,do,s,topic_75,0,freq2,0,ig5,0,sal1,0
we,we,s,topic_25,0,freq1,0,ig5,0,sal1,0
run,run,s,topic_86,0,freq4,0,ig5,0,sal5,0
around,around,s,topic_86,0,freq3,0,ig5,0,sal4,0
here,here,,topic_4,0,freq4,0,ig5,0,sal5,0
?,?,
"""","""",s
"""","""",
Oh,oh,,topic_0,0,freq5,0,ig5,0,sal5,0
",",",",s
why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
does,does,s,topic_4,0,freq4,0,ig5,0,sal4,0
it,it,s,topic_78,0,freq2,0,ig5,0,sal5,0
come,come,s,topic_78,0,freq4,0,ig5,0,sal5,0
inside,inside,s,topic_86,0,freq4,0,ig5,0,sal5,0
me,me,,topic_41,0,freq1,0,ig5,0,sal5,0
?,?,
"""","""",s
"""","""",
Oh,oh,,topic_67,0,freq1,0,ig5,0,sal1,0
",",",",s
why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
does,does,s,topic_4,0,freq4,0,ig5,0,sal4,0
it,it,s,topic_3,0,freq3,0,ig5,0,sal5,0
rip,rip,s,topic_62,0,freq5,0,ig4,0,sal5,0
me,me,s,topic_18,0,freq2,0,ig5,0,sal4,0
all,all,s,topic_35,0,freq2,0,ig5,0,sal5,0
between,between,,topic_55,0,freq4,0,ig5,0,sal5,0
?,?,
"""","""",s
Why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
then,then,,topic_79,0,freq4,0,ig5,0,sal5,0
",",",",s
why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
then,then,,topic_75,0,freq5,0,ig5,0,sal5,0
",",",",s
watch,watch,s,topic_4,0,freq4,0,ig5,0,sal4,0
this,this,s,topic_92,0,freq2,0,ig5,0,sal2,0
little,little,s,topic_42,0,freq1,0,ig4,0,sal1,0
fuck,fuck,,topic_46,0,freq2,0,ig1,0,sal1,0
!,!,s
Going,going,s,topic_18,0,freq5,0,ig5,0,sal5,0
away,away,,topic_4,0,freq4,0,ig5,0,sal5,0
",",",",s
yeah,yeah,,topic_67,0,freq4,0,ig5,0,sal5,0
...,...,s
Why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
this,this,s,topic_92,0,freq2,0,ig5,0,sal2,0
lonely,lonely,,topic_0,0,freq4,0,ig5,0,sal5,0
",",",",s
why,why,s,topic_0,0,freq5,0,ig5,0,sal5,0
this,this,s,topic_18,0,freq4,0,ig5,0,sal5,0
lonely,lonely,,topic_35,0,freq5,0,ig5,0,sal5,0
",",",",s
why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
this,this,s,topic_41,0,freq4,0,ig5,0,sal5,0
lonely,lonely,,topic_0,0,freq4,0,ig5,0,sal5,0
",",",",s
love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
?,?,s
Why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
this,this,s,topic_92,0,freq2,0,ig5,0,sal2,0
lonely,lonely,,topic_0,0,freq4,0,ig5,0,sal5,0
",",",",s
why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
this,this,s,topic_92,0,freq2,0,ig5,0,sal2,0
lonely,lonely,,topic_0,0,freq4,0,ig5,0,sal5,0
",",",",s
why,why,s,topic_4,0,freq1,0,ig5,0,sal1,0
this,this,s,topic_92,0,freq2,0,ig5,0,sal2,0
lonely,lonely,,topic_0,0,freq4,0,ig5,0,sal5,0
",",",",s
love,love,,topic_0,0,freq1,0,ig5,0,sal1,0
?,?,s
Oh,oh,s,topic_67,0,freq1,0,ig5,0,sal1,0
I,i,s,topic_0,0,freq2,0,ig5,0,sal5,0
will,will,s,topic_35,0,freq1,0,ig5,0,sal1,0
carry,carry,s,topic_55,0,freq5,0,ig5,0,sal5,0
on,on,,topic_46,0,freq2,0,ig5,0,sal5,0
",",",",s
burial,burial,,topic_4,0,freq5,0,ig1,0,sal5,0
