if,if,s,topic_45,0,freq4,0,ig5,0,sal5,0
that,that,s,topic_92,0,freq3,0,ig5,0,sal4,0
mockingbird,mockingbird,s,topic_45,0,freq5,0,ig4,0,sal4,0
don't,don't,s,topic_98,0,freq2,0,ig5,0,sal3,0
sing,sing,s,topic_98,0,freq5,0,ig5,0,sal5,0
He's,he's,s,topic_72,0,freq2,0,ig4,0,sal1,0
gonna,gonna,s,topic_45,0,freq1,0,ig5,0,sal2,0
buy,buy,s,topic_45,0,freq5,0,ig5,0,sal5,0
me,me,s,topic_45,0,freq2,0,ig5,0,sal5,0
a,a,s,topic_45,0,freq3,0,ig5,0,sal5,0
diamond,diamond,s,topic_45,0,freq4,0,ig5,0,sal3,0
ring,ring,s,topic_45,0,freq4,0,ig5,0,sal4,0
If,if,s,topic_45,0,freq4,0,ig5,0,sal5,0
that,that,s,topic_98,0,freq2,0,ig5,0,sal4,0
diamond,diamond,n,topic_45,0,freq4,0,ig5,0,sal3,0
