Document,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35
The_Ring_Bob_Seger,1.30E-02,3.39E+00,1.30E-02,1.14E+01,1.30E-02,1.04E+01,1.30E-02,2.73E-01,1.30E-02,1.57E+00,1.30E-02,5.73E+00,1.30E-02,5.47E+00,1.30E-02,7.55E+00,1.38E+01,3.39E+00,1.30E-02,3.39E+00,1.30E-02,4.17E+00,1.30E-02,2.35E+00,2.35E+00,2.87E+00,1.30E-02,7.92E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
The_Sweetest_Condition_Depeche_Mode,3.31E-02,2.68E+00,3.31E-02,1.36E+00,3.31E-02,9.97E+00,3.31E-02,2.68E+00,2.85E+01,2.02E+00,3.31E-02,7.32E+00,3.31E-02,6.95E-01,3.31E-02,6.95E-01,3.31E-02,1.06E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
I_Shall_Sing_Boney_M.,3.52E-02,8.49E+00,1.83E+01,1.44E+00,3.52E-02,1.48E+01,3.52E-02,1.76E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Angel_Come_Home_Beach_Boys,1.75E-02,3.18E+00,1.75E-02,8.79E+00,2.82E+00,2.53E+01,1.75E-02,5.98E+00,1.75E-02,7.74E+00,1.75E-02,1.93E+01,1.75E-02,3.68E-01,1.75E-02,3.53E+00,1.75E-02,2.12E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Best_Of_Your_Heart_Chaka_Khan,2.84E-02,5.97E-01,2.84E-02,5.97E-01,2.84E-02,2.16E+01,2.84E-02,4.01E+00,2.84E-02,6.85E+00,4.57E+00,2.87E+00,2.84E-02,5.14E+00,1.54E+01,1.14E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Golden_Girl_Chris_Brown,1.46E+01,6.10E-01,1.49E-02,2.10E+00,1.49E-02,9.08E-01,1.49E-02,1.16E+01,1.49E-02,1.50E+00,1.49E-02,6.86E+00,1.49E-02,3.88E+00,1.49E-02,3.13E-01,1.49E-02,2.10E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Strange_Music_Bing_Crosby,2.33E+00,4.62E+00,3.82E-02,8.44E+00,3.82E-02,1.68E+01,3.82E-02,5.38E+00,1.56E+00,1.91E+01,3.82E-02,3.09E+00,3.82E-02,1.15E+01,3.82E-02,8.02E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
One_More_Time_Clash,3.73E-02,2.28E+00,3.73E-02,7.84E-01,3.73E-02,7.84E-01,2.28E+00,8.25E+00,3.73E-02,2.28E+00,9.74E+00,3.77E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
A_Girl_Named_Mary_And_A_Boy_Named_Bill_Dean_Martin,4.35E-02,1.22E+01,4.35E-02,9.13E-01,4.35E-02,2.09E+01,4.35E-02,6.13E+00,1.05E+01,2.65E+00,4.35E-02,1.57E+01,4.35E-02,3.52E+00,4.35E-02,9.13E-01,4.35E-02,7.87E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Hang_Up_The_Phone_Conway_Twitty,2.79E-02,5.87E-01,2.79E-02,5.87E-01,2.79E-02,6.17E+00,3.38E+00,3.94E+00,2.79E-02,1.06E+01,5.87E-01,5.87E-01,2.79E-02,1.15E+00,2.79E-02,2.26E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Hamlet_III_ABBA,4.07E-02,2.77E+01,7.36E+00,3.29E+00,4.07E-02,1.06E+01,4.07E-02,8.54E-01,4.07E-02,8.54E-01,4.07E-02,8.17E+00,4.07E-02,2.48E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
The_Punk_Show_Avril_Lavigne,2.11E-02,8.88E+00,2.11E-02,1.29E+00,1.29E+00,1.23E+01,4.43E-01,1.90E+01,2.11E-02,3.40E+00,2.11E-02,4.66E+00,8.65E-01,2.55E+00,2.11E-02,2.13E+00,2.11E-02,7.19E+00,2.11E-02,8.65E-01,2.11E-02,2.55E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
